,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2012/01,914,153,1590,516,2380,1029.5,2210,2666,312,1449
MONTHLY(M),2012/02,1082,177.25,1690,502,2620,999.5,2410,3095,316,1492
MONTHLY(M),2012/03,1192,175.75,1830,504,2620,898,2253,3145,316,1491
MONTHLY(M),2012/04,1178,172.5,2050,456,2400,919.5,2124,2896,315,1484
MONTHLY(M),2012/05,1058,154.25,1780,410,2140,853,2021,2512,279,1428
MONTHLY(M),2012/06,1194,157.75,2200,466,2290,852,2224,2749,310,1473
MONTHLY(M),2012/07,1092,148.75,1960,450,2180,889,2144,2551,302,1465
MONTHLY(M),2012/08,1164,148.6,1960,434,2190,937.5,2085,2472,298,1524
MONTHLY(M),2012/09,1152,149.9,1950,426,2460,915.5,2023,2397,310,1528
MONTHLY(M),2012/10,1118,154.5,1980,442,2320,935,2208,2390,267,1552
MONTHLY(M),2012/11,1104,164,1960,474,2350,935,2592,2732,285,1553
MONTHLY(M),2012/12,1240,172.25,1940,568,2920,919.5,2942,3145,313,1548
MONTHLY(M),2013/01,1408,186.25,2080,548,2930,1013.5,3490,3505,307,1631
MONTHLY(M),2013/02,1738,191,1950,548,2820,1014,3435,3455,306,1542
MONTHLY(M),2013/03,2164,209,2010,512,2680,1237,3690,3555,357,1527
MONTHLY(M),2013/04,2556,245.5,2020,622,2790,1412,3910,3875,389,1533
